Episode no = 900; won: True; Q(s,a) = 423.8566953733789; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:56
Episode no = 910; won: True; Q(s,a) = 419.60972404121674; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:56
Episode no = 920; won: True; Q(s,a) = 416.43550574279413; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:57
Episode no = 930; won: True; Q(s,a) = 418.19758355411125; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:57
Episode no = 940; won: True; Q(s,a) = 367.8877545604016; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:58
Episode no = 950; won: True; Q(s,a) = 369.2338232624297; reward = 91.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:58
Episode no = 960; won: True; Q(s,a) = 407.3647011697336; reward = 92.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:59
Episode no = 970; won: True; Q(s,a) = 360.06182446242747; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:59
Episode no = 980; won: True; Q(s,a) = 358.81085858570873; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:59
Episode no = 990; won: True; Q(s,a) = 451.57298280104135; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:00
Episode no = 1000; won: True; Q(s,a) = 415.54330267053064; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:00
Episode no = 1010; won: True; Q(s,a) = 419.0249124371164; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:01
Episode no = 1020; won: True; Q(s,a) = 387.5747052369575; reward = 90.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:01
Episode no = 1030; won: True; Q(s,a) = 372.750563140271; reward = 91.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:02
Episode no = 1040; won: True; Q(s,a) = 367.8048066340633; reward = 91.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:02
Episode no = 1050; won: True; Q(s,a) = 371.9479222375752; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:02
Episode no = 1060; won: True; Q(s,a) = 357.9495113777423; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:03
Episode no = 1070; won: True; Q(s,a) = 409.8225814835133; reward = 93.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:03
Episode no = 1080; won: True; Q(s,a) = 421.74029897959883; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:04
Episode no = 1090; won: True; Q(s,a) = 412.0365034733986; reward = 93.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:04
Episode no = 1100; won: True; Q(s,a) = 449.0214676928426; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:05
Episode no = 1110; won: True; Q(s,a) = 451.40437710901676; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:05
Episode no = 1120; won: True; Q(s,a) = 360.91989635423374; reward = 82.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:06
Episode no = 1130; won: True; Q(s,a) = 363.48431404928056; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:06
Episode no = 1140; won: True; Q(s,a) = 456.0217468085815; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:06
Episode no = 1150; won: True; Q(s,a) = 414.78980596167935; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:07
Episode no = 1160; won: True; Q(s,a) = 414.8619890067911; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:07
Episode no = 1170; won: True; Q(s,a) = 457.93758140298553; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:08
Episode no = 1180; won: True; Q(s,a) = 458.22879953544384; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:08
Episode no = 1190; won: True; Q(s,a) = 452.7859663274924; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:09
Episode no = 1200; won: True; Q(s,a) = 356.02720873580154; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:09
Episode no = 1210; won: True; Q(s,a) = 408.81218062422204; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:10
Episode no = 1220; won: True; Q(s,a) = 407.26480133132077; reward = 91.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:10
Episode no = 1230; won: True; Q(s,a) = 364.49691222483114; reward = 82.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:11
Episode no = 1240; won: True; Q(s,a) = 407.0530740292842; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:11
Episode no = 1250; won: True; Q(s,a) = 362.13557116044535; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:11
Episode no = 1260; won: True; Q(s,a) = 456.89605150546225; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:12
Episode no = 1270; won: True; Q(s,a) = 408.0683374259676; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:12
Episode no = 1280; won: True; Q(s,a) = 407.9284739154102; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:13
Episode no = 1290; won: True; Q(s,a) = 452.65777121995177; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:13
Episode no = 1300; won: True; Q(s,a) = 405.84932766927; reward = 91.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:14
Episode no = 1310; won: True; Q(s,a) = 352.2776352696074; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:14
Episode no = 1320; won: True; Q(s,a) = 352.1626780834108; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:15
Episode no = 1330; won: True; Q(s,a) = 408.83396282872377; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:15
Episode no = 1340; won: True; Q(s,a) = 360.66097299674027; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:15
Episode no = 1350; won: True; Q(s,a) = 408.54241702699994; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:16
Episode no = 1360; won: True; Q(s,a) = 408.5272210570664; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:16
Episode no = 1370; won: True; Q(s,a) = 348.67159829476634; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:17
Episode no = 1380; won: True; Q(s,a) = 410.66337535237807; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:17
Episode no = 1390; won: True; Q(s,a) = 412.14174019410467; reward = 91.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:18
Episode no = 1400; won: True; Q(s,a) = 456.8868112407596; reward = 82.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:18
Episode no = 1410; won: True; Q(s,a) = 405.88330420341777; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:19
Episode no = 1420; won: True; Q(s,a) = 442.57128908122354; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:19
Episode no = 1430; won: True; Q(s,a) = 406.6912582006516; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:20
Episode no = 1440; won: True; Q(s,a) = 445.72557704863243; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:20
Episode no = 1450; won: True; Q(s,a) = 407.85065780063456; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:20
Episode no = 1460; won: True; Q(s,a) = 448.34024997007805; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:21
Episode no = 1470; won: True; Q(s,a) = 445.3791600763202; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:21
Episode no = 1480; won: True; Q(s,a) = 370.02594520591464; reward = 91.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:22
Episode no = 1490; won: True; Q(s,a) = 407.13316785258405; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:22
Episode no = 1500; won: True; Q(s,a) = 361.09374042082004; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:23
Episode no = 1510; won: True; Q(s,a) = 409.9224066328185; reward = 91.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:23
Episode no = 1520; won: True; Q(s,a) = 408.98972078929296; reward = 93.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:23
Episode no = 1530; won: True; Q(s,a) = 360.766405110188; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:24
Episode no = 1540; won: True; Q(s,a) = 449.21933762559377; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:24
Episode no = 1550; won: True; Q(s,a) = 450.90436023501206; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:25
Episode no = 1560; won: True; Q(s,a) = 409.36442116065996; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:25
Episode no = 1570; won: True; Q(s,a) = 409.4721350602574; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:26
Episode no = 1580; won: True; Q(s,a) = 409.91615952563086; reward = 91.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:26
Episode no = 1590; won: True; Q(s,a) = 349.11919144199476; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:26
Episode no = 1600; won: True; Q(s,a) = 359.5968553000674; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:27
Episode no = 1610; won: True; Q(s,a) = 385.72273228055855; reward = 90.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:27
Episode no = 1620; won: True; Q(s,a) = 398.008957693464; reward = 93.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:28
Episode no = 1630; won: True; Q(s,a) = 398.18288234550783; reward = 93.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:28
Episode no = 1640; won: True; Q(s,a) = 446.8908041139482; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:29
Episode no = 1650; won: True; Q(s,a) = 445.2867807062862; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:29
Episode no = 1660; won: True; Q(s,a) = 366.94579920524035; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:30
Episode no = 1670; won: True; Q(s,a) = 405.3832315098907; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:30
Episode no = 1680; won: True; Q(s,a) = 445.89813096973546; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:30
Episode no = 1690; won: True; Q(s,a) = 361.78542748640245; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:31
Episode no = 1700; won: True; Q(s,a) = 317.0966418795407; reward = 91.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:31
Episode no = 1710; won: True; Q(s,a) = 367.1830413059425; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:32
Episode no = 1720; won: True; Q(s,a) = 398.31663904412153; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:32
Episode no = 1730; won: True; Q(s,a) = 449.1820135804562; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:33
Episode no = 1740; won: True; Q(s,a) = 399.3910244956269; reward = 93.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:33
Episode no = 1750; won: True; Q(s,a) = 396.8742425094597; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:33
Episode no = 1760; won: True; Q(s,a) = 445.39585380983794; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:34
Episode no = 1770; won: True; Q(s,a) = 398.6047485202189; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:34
Episode no = 1780; won: True; Q(s,a) = 363.64976638850885; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:35
Episode no = 1790; won: True; Q(s,a) = 444.4519891989984; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:35
Episode no = 1800; won: True; Q(s,a) = 445.7195444949517; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:36
Episode no = 1810; won: True; Q(s,a) = 393.44297620283635; reward = 93.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:36
Episode no = 1820; won: True; Q(s,a) = 392.9138293502507; reward = 95.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:13:36
